DOID_113	HP_0025536	HP_0002097	HP_0025421	HP_0011851	HP_0045026	HP_0001698	HP_0001701	HP_0005203	MP_0001857	HP_0002107	HP_0011629	MP_0010822
DOID_114	HP_0011675	MP_0009384	HP_0005110	HP_0001692	HP_0001627	HP_0001638	MP_0008543	MP_0006109	MP_0006138	MP_0005330	HP_0001637	HP_0004306
DOID_115	HP_0025076	HP_0011851	HP_0011853	HP_0100004	HP_0001701	HP_0011852	HP_0005132	MP_0001857	HP_0002563	HP_0001698	MP_0001853	HP_0025078
DOID_116	MP_0001857	HP_0100002	HP_0001701	HP_0001627	MP_0001853	HP_0002563	HP_0001698	HP_0100003	HP_0100001	HP_0005132	HP_0100016	HP_0011673
DOID_117	HP_0011673	HP_0100544	HP_0010617	HP_0009730	HP_0009729	HP_0001698	HP_0005132	HP_0031056	HP_0100001	HP_0011672	HP_0005462	MP_0003391
DOID_118	HP_0100004	HP_0002563	HP_0025074	HP_0001627	HP_0011852	MP_0001853	HP_0001698	HP_0025076	HP_0025078	MP_0001857	HP_0001701	HP_0005132
DOID_119	HP_0000139	HP_0000142	HP_0100243	HP_0004320	HP_0031522	HP_0008740	HP_0004321	HP_0025485	HP_0012218	HP_0001586	HP_0100650	HP_0031521
DOID_120	HP_0007379	HP_0000137	HP_0100615	HP_0000078	HP_0030079	HP_0000812	HP_0025318	HP_0000130	HP_0010784	HP_0010787	HP_0010785	HP_0031502
DOID_121	HP_0030160	MP_0009228	MP_0009080	HP_0410020	HP_0030158	HP_0012888	MP_0005389	MP_0009360	HP_0030161	MP_0013136	MP_0003541	HP_0012204
DOID_122	HP_0030243	HP_0004389	HP_0000772	HP_0002590	HP_0005224	HP_0100003	HP_0006640	MP_0020493	HP_0002041	HP_0500005	MP_0013030	HP_0100016
DOID_127	HP_0100243	HP_0007620	HP_0031501	HP_0100551	HP_0000131	HP_0010784	HP_0002891	HP_0031459	HP_0000130	HP_0007437	HP_0011507	HP_0010787
DOID_136	HP_0002859	HP_0030126	HP_0000130	HP_0030127	HP_0000131	HP_0009728	HP_0001548	HP_0000098	HP_0100243	HP_0031501	HP_0006765	HP_0000138
DOID_139	HP_0007543	MP_0020215	HP_0005518	HP_0100551	MP_0013145	HP_0012028	HP_0031021	HP_0006560	HP_0031463	MP_0000321	HP_0000962	HP_0008724
DOID_146	HP_0002516	HP_0012372	HP_0012426	HP_0012374	HP_0000572	HP_0000538	HP_0001098	HP_0030181	HP_0000543	HP_0012795	HP_0000648	HP_0000587
DOID_150	HP_0000708	HP_0001249	HP_0030858	HP_0000726	HP_0007018	HP_0007302	HP_0031466	HP_0000729	HP_0100753	HP_0000736	MP_0004270	HP_0000739
DOID_153	HP_0025197	HP_0100276	HP_0001805	HP_0031018	HP_0012842	HP_0031405	HP_0025367	HP_0030416	HP_0012843	HP_0031287	HP_0010610	HP_0001597
DOID_154	MP_0002068	HP_0100604	HP_0100638	HP_0100243	MP_0008021	HP_0100684	MP_0014018	HP_0025364	MP_0008779	HP_0025363	HP_0100878	HP_0030983
DOID_157	HP_0030731	HP_0031492	HP_0010785	HP_0000137	HP_0100615	MP_0005078	HP_0031496	HP_0025367	HP_0010787	HP_0025318	HP_0100575	HP_0100516
DOID_159	MP_0003580	MP_0010922	HP_0100001	MP_0003622	HP_0100003	HP_0031500	MP_0005435	HP_0100016	HP_0100764	HP_0011854	HP_0002089	HP_0000016
DOID_161	HP_0000370	HP_0100799	HP_0000389	HP_0000962	HP_0000982	HP_0031287	HP_0008609	HP_0000972	HP_0010765	HP_0012780	HP_0007556	HP_0011368
DOID_162	HP_0010787	HP_0007378	MP_0002018	HP_0004377	HP_0011792	HP_0002664	HP_0007379	MP_0002038	MP_0002020	HP_0001909	HP_0011793	MP_0002006
DOID_163	HP_0002779	HP_0012842	MP_0013753	HP_0200040	HP_0002105	HP_0031024	MP_0001870	MP_0020218	MP_0001349	HP_0030416	HP_0100750	HP_0030077
DOID_166	HP_0100619	HP_0000674	MP_0010338	HP_0100813	HP_0031150	HP_0000169	HP_0031111	HP_0030070	HP_0002859	HP_0030066	HP_0100612	HP_0000840
DOID_169	HP_0030404	HP_0031474	HP_0000759	HP_0030074	HP_0002886	HP_0004375	HP_0100568	HP_0100634	HP_0002044	HP_0002668	HP_0100007	HP_0002864
DOID_170	HP_0002895	HP_0100641	HP_0100031	HP_0010788	HP_0002668	HP_0001732	HP_0100631	HP_0000777	HP_0100568	HP_0100521	HP_0002894	HP_0002890
DOID_171	HP_0030060	HP_0006717	HP_0002888	HP_0010799	HP_0012254	HP_0030065	HP_0030061	HP_0002885	HP_0020006	HP_0030693	HP_0030063	HP_0030408
DOID_172	HP_0012843	HP_0031405	HP_0200034	HP_0009720	HP_0030434	HP_0031454	HP_0031018	HP_0012844	HP_0012842	HP_0031287	HP_0010615	HP_0025367
DOID_173	HP_0012842	HP_0031405	HP_0025367	HP_0012843	HP_0012844	HP_0031024	HP_0030434	HP_0010815	HP_0025246	HP_0031018	HP_0009720	HP_0012035
DOID_174	HP_0025114	HP_0012846	HP_0025512	HP_0045059	HP_0031405	HP_0009720	HP_0031287	HP_0031018	HP_0012843	HP_0007475	HP_0012844	HP_0007431
DOID_175	HP_0100742	HP_0006772	HP_0002864	HP_0001028	HP_0012329	MP_0002947	HP_0008696	HP_0005306	HP_0100635	MP_0003667	HP_0200058	HP_0003001
